id,parent_id,description_en,category,public_domain_definition,diet_society,diet_society_url,rule_set_notes,open_food_facts_source
vegetarian,vegetarian,"Diet that excludes meat, fish, and poultry.",vegetarian_pattern,yes,European Vegetarian Union (V-Label),https://www.euroveg.eu/   https://www.v-label.com,"Core parent category for vegetarian variants. FOOD rules only, not an identity label - rules maintained by EVU/V-Label.",https://wiki.openfoodfacts.org/These_diets#Vegetarianism
pescatarian,vegetarian,Mostly vegetarian diet that includes fish and seafood but excludes other meat.,vegetarian_pattern,yes,no,,Common public-health category but no single certifying body. Best treated as a soft preference rather than a strict rule set.,General nutrition literature; discussed alongside vegetarian/vegan patterns in Open Food Facts community resources.
flexitarian,vegetarian,Mostly plant-based diet that occasionally includes meat or fish.,vegetarian_pattern,yes,no,,Described in public health and sustainability literature rather than in formal labelling rules. Represents a gradual shift towards plant-forward eating.,General nutrition and sustainability literature; occasionally referenced in Open Food Facts community discussions.
ovo_vegetarian,vegetarian,Vegetarian diet that allows eggs but not meat or fish.,vegetarian_pattern,yes,European Vegetarian Union (V-Label),https://www.euroveg.eu/   https://www.v-label.com,Clear inclusion of eggs while excluding meat and fish - variant of vegetarianism useful where egg consumption is explicitly allowed.,https://wiki.openfoodfacts.org/These_diets#Vegetarianism
lacto_vegetarian,vegetarian,Vegetarian diet that allows dairy products but not meat or fish.,vegetarian_pattern,yes,European Vegetarian Union (V-Label),https://www.euroveg.eu/   https://www.v-label.com,Clear inclusion of dairy while excluding meat and fish - common in several regions; useful for labelling and personalisation.,https://wiki.openfoodfacts.org/These_diets#Vegetarianism
ovo_lacto_vegetarian,vegetarian,Vegetarian diet that allows eggs and dairy products but not meat or fish.,vegetarian_pattern,yes,European Vegetarian Union (V-Label),https://www.euroveg.eu/   https://www.v-label.com,Standard vegetarian label for products containing egg and/or dairy but no meat or fish.,https://wiki.openfoodfacts.org/These_diets#Vegetarianism
buddhist_vegetarianism,vegetarian,"Vegetarian diet that also avoids certain 'fetid' or pungent vegetables (e.g. garlic, onions)",vegetarian_pattern,yes,partially,,Implemented purely via ingredient groups; cultural and doctrinal variations exist - common vegetarian variant in Europe and India,https://wiki.openfoodfacts.org/These_diets#Buddhist_vegetarianism
jain_vegetarianism,vegetarian,"Strict vegetarian diet excluding root vegetables such as onions, garlic, potatoes and some tubers.",vegetarian_pattern,yes,partially,,"Excluding meat, alcohol, honey, butter, funghi, root vegetables or spinach as well as fish and dairy. Modelled purely as food rules not as a religious identity.",https://wiki.openfoodfacts.org/These_diets#Jain_vegetarianism
vegan,vegetarian,"Diet that excludes all animal products, including meat, fish, dairy, eggs, honey, and gelatine.",vegetarian_pattern,yes,European Vegetarian Union (V-Label),https://www.euroveg.eu/   https://www.v-label.com,Widely standardised vegan rules via V-Label and similar schemes.,https://wiki.openfoodfacts.org/These_diets#Vegetarianism
raw_veganism,vegetarian,Vegan diet where foods are eaten raw or only very gently heated.,vegetarian_pattern,yes,partially,,Combines vegan ingredient rules with a raw-food preparation constraint,https://wiki.openfoodfacts.org/These_diets#Raw_veganism
fruitarianism,vegetarian,"Diet based mainly or exclusively on fruits, sometimes with nuts and seeds.",diet_pattern,yes,no,,"Highly restrictive; defined largely by inclusion of fruit, nuts, and seeds and exclusion of most other food groups.",https://wiki.openfoodfacts.org/These_diets#Fruitarianism
sattvic_diet,vegetarian,"Traditional plant-forward pattern emphasising fresh, minimally processed foods and some dairy.",diet_pattern,yes,partially,,Rules come from traditional texts and focus on food qualities and freshness.,https://wiki.openfoodfacts.org/These_diets#Sattvic_diet
macrobiotic_diet,,"Diet focusing on whole grains, local vegetables and low-processed foods, often limiting animal products.",diet_pattern,yes,partially,,Described in public sources but with some variation between schools - best treated as a general pattern,https://wiki.openfoodfacts.org/These_diets#Macrobiotic_diet
kangatarianism,,Diet similar to vegetarianism but allowing kangaroo meat as the only meat exception.,diet_pattern,yes,no,,Culturally specific and mostly illustrative; interesting example of selective meat inclusion.,https://wiki.openfoodfacts.org/These_diets#Kangatarianism
omnivore,,"No specific dietary restriction; may eat meat, fish and animal products.",diet_pattern,yes,no,,Useful as a default when no dietary constraints are set.,https://wiki.openfoodfacts.org/Diets
raw_foodism,,Diet that excludes foods heated above a certain temperature (often around 48°C).,diet_pattern,yes,no,,Focused on preparation temperature rather than the ingredient list; not easily machine-detectable from labels.,https://wiki.openfoodfacts.org/These_diets
gluten_free,,Avoids gluten-containing cereals and derived ingredients.,diet_constraint,yes,yes,https://www.aoecs.org,Open Food Facts tracks gluten and allergens; this category should be used carefully and is not medical advice.,https://wiki.openfoodfacts.org/Category:Gluten
lactose_free,,Avoids lactose; may or may not allow other dairy components depending on context.,diet_constraint,yes,partially,https://lactosa.org,Open Food Facts allergen and lactose-related tags; national dietary guidance.,https://wiki.openfoodfacts.org/Lactose